Course,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Target
14,0,0,1,0,0,23,0,6,6,6,5,Dropout
12,0,0,1,0,0,20,0,7,6,7,6,Graduate
11,0,0,0,0,0,28,0,5,0,5,0,Dropout
14,0,0,1,0,0,21,0,5,4,5,5,Graduate
13,0,0,1,0,0,21,0,2,2,7,0,Dropout
12,0,0,1,0,0,28,0,7,0,8,0,Dropout
12,1,0,1,0,0,18,0,7,6,8,7,Graduate
10,0,0,1,0,1,21,0,6,5,6,5,Enrolled
12,0,0,1,0,0,19,0,7,6,8,8,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
12,0,0,1,0,0,19,0,7,0,8,0,Dropout
6,0,0,1,0,0,20,0,6,6,6,2,Enrolled
12,0,0,1,0,1,20,0,7,6,8,7,Graduate
16,0,0,1,0,1,18,0,6,6,6,5,Graduate
14,0,0,1,0,0,20,0,6,6,6,4,Dropout
14,0,0,1,0,0,31,0,6,5,6,4,Dropout
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
12,0,0,1,0,1,19,0,7,6,8,7,Graduate
5,0,0,1,0,0,23,0,6,6,6,6,Graduate
14,0,0,1,0,0,19,0,6,6,6,6,Graduate
12,0,0,1,0,0,20,0,7,6,7,6,Graduate
6,0,1,1,0,0,22,0,6,5,6,4,Enrolled
16,1,0,1,0,0,18,0,7,6,7,6,Enrolled
8,0,1,0,0,0,27,0,5,2,5,1,Dropout
13,0,0,1,0,0,29,0,7,1,7,0,Dropout
11,0,0,1,0,0,18,0,6,5,6,5,Graduate
5,0,0,1,0,0,18,0,6,5,6,6,Graduate
12,0,0,1,0,0,18,0,8,8,8,8,Graduate
6,0,0,1,0,0,20,0,5,3,5,5,Enrolled
11,0,0,1,0,0,18,0,6,6,6,5,Graduate
5,0,0,0,0,0,18,0,6,5,6,4,Enrolled
6,0,0,0,0,0,28,0,5,1,4,0,Dropout
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
12,0,0,1,0,0,27,0,7,4,7,3,Enrolled
1,0,0,1,0,0,26,0,7,7,7,5,Enrolled
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
8,0,0,1,0,0,18,0,5,4,5,5,Dropout
9,1,0,1,0,0,21,0,5,0,5,0,Dropout
5,0,0,1,0,0,18,0,6,4,6,0,Enrolled
3,0,0,0,0,0,32,0,5,0,5,0,Dropout
14,0,0,1,0,0,28,0,5,4,5,4,Graduate
17,0,0,0,0,0,40,0,4,0,5,0,Dropout
3,0,1,0,0,0,39,0,5,0,4,0,Dropout
10,0,1,0,0,0,39,0,6,0,6,0,Dropout
4,0,0,1,0,0,50,0,6,6,6,5,Graduate
16,0,0,1,0,0,23,0,6,5,6,3,Dropout
3,0,0,1,0,0,48,0,6,1,6,1,Dropout
16,0,0,1,0,0,23,0,6,4,6,5,Dropout
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
8,0,0,1,0,0,18,0,5,2,5,5,Graduate
10,0,0,0,0,0,20,1,6,5,6,6,Graduate
6,0,0,1,0,1,18,1,5,4,5,5,Graduate
13,0,0,1,0,0,18,1,7,4,8,0,Dropout
7,0,0,1,1,0,31,0,5,1,5,1,Dropout
7,0,0,1,1,0,24,0,5,1,5,3,Enrolled
2,0,0,1,1,0,24,0,0,0,0,0,Graduate
9,0,1,0,1,0,26,0,5,0,5,0,Dropout
8,0,1,1,1,0,18,0,6,5,6,4,Dropout
9,0,0,1,1,1,19,0,5,3,5,3,Enrolled
14,0,0,1,1,0,22,0,6,0,6,0,Dropout
12,0,0,1,1,0,18,0,8,7,8,7,Graduate
5,0,1,0,1,0,20,0,6,0,6,0,Dropout
2,0,0,1,1,0,25,0,0,0,0,0,Graduate
17,0,0,1,1,0,24,0,5,4,5,5,Graduate
7,0,0,1,1,0,27,0,5,1,5,0,Dropout
11,0,0,1,1,0,21,0,6,5,6,5,Graduate
4,0,0,1,1,0,21,0,6,6,6,6,Graduate
15,0,0,1,1,0,19,0,6,4,6,6,Dropout
12,0,0,1,1,0,28,0,7,7,8,8,Graduate
9,0,0,1,1,0,20,0,5,5,5,2,Enrolled
4,0,0,1,1,1,21,0,6,6,6,6,Graduate
12,0,0,1,1,1,18,0,7,7,8,8,Graduate
7,0,0,1,1,1,18,0,5,5,5,5,Enrolled
9,0,0,1,1,0,20,0,5,4,5,3,Enrolled
7,0,0,1,1,0,25,0,5,5,5,2,Enrolled
14,0,1,1,1,0,22,0,6,6,6,2,Enrolled
12,0,0,1,1,0,18,0,8,6,8,6,Enrolled
9,0,0,1,1,0,19,0,5,5,5,5,Graduate
7,0,0,1,1,0,19,0,5,3,5,3,Dropout
15,0,1,0,1,0,25,0,6,4,6,4,Dropout
5,0,1,1,1,0,21,0,11,9,8,3,Dropout
7,0,0,1,1,0,19,0,5,2,6,0,Dropout
9,0,0,1,1,0,20,0,5,0,5,0,Dropout
4,0,0,1,1,0,25,0,14,14,9,6,Dropout
9,0,0,1,1,0,20,0,5,3,5,3,Enrolled
2,0,0,1,1,0,18,0,0,0,0,0,Graduate
11,0,1,1,1,0,23,0,6,3,6,3,Enrolled
12,0,0,1,1,0,23,0,8,8,8,8,Graduate
4,0,0,1,1,0,21,0,12,11,12,11,Graduate
8,0,0,1,1,0,20,0,5,2,5,3,Enrolled
17,0,0,1,1,0,25,0,5,1,5,2,Dropout
8,0,0,1,1,0,18,0,6,6,6,5,Graduate
5,0,0,1,1,0,22,0,6,6,6,6,Graduate
14,0,0,1,1,0,27,0,6,6,6,6,Graduate
4,0,0,1,1,0,25,0,3,0,3,0,Dropout
7,0,0,1,1,0,18,0,5,3,5,3,Dropout
6,0,0,1,1,0,20,0,5,5,5,5,Graduate
4,0,0,1,1,0,27,0,6,5,6,5,Graduate
3,0,0,1,1,0,20,0,6,6,6,6,Graduate
9,0,0,1,1,0,22,0,5,0,5,1,Dropout
7,0,0,1,1,0,19,0,5,3,5,3,Dropout
9,0,0,1,1,0,20,0,5,3,5,5,Enrolled
2,0,0,1,1,0,19,0,0,0,0,0,Graduate
6,0,0,0,1,0,29,0,5,0,5,0,Dropout
12,0,0,1,1,0,19,0,8,7,8,7,Graduate
17,0,0,1,0,1,28,0,5,5,5,5,Enrolled
10,0,0,1,0,0,20,0,6,6,6,6,Graduate
5,0,0,1,0,0,20,0,6,4,6,6,Graduate
3,0,0,1,0,0,31,0,6,0,6,0,Dropout
12,0,0,1,0,0,18,0,7,7,8,7,Graduate
14,0,0,1,0,0,19,0,6,6,6,6,Enrolled
9,0,0,1,0,0,18,0,5,4,5,4,Graduate
11,0,0,1,0,0,19,0,6,5,6,5,Graduate
9,0,0,1,0,1,18,0,5,5,5,5,Graduate
6,0,0,1,0,0,19,0,5,3,5,5,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
11,0,0,1,0,0,19,0,6,6,6,3,Graduate
13,0,0,1,0,0,19,0,7,7,8,8,Graduate
14,0,0,1,0,0,18,0,6,6,6,6,Graduate
12,0,0,1,0,0,19,0,7,4,7,5,Enrolled
14,0,0,1,0,1,20,0,6,6,6,6,Graduate
14,0,0,1,0,0,20,0,6,5,6,4,Enrolled
4,0,1,1,0,0,20,0,6,6,6,5,Enrolled
17,0,0,1,0,0,29,0,15,11,13,11,Dropout
16,0,0,0,0,1,20,0,6,4,6,3,Dropout
16,0,1,0,0,0,31,0,7,6,7,5,Dropout
14,1,0,1,0,0,20,0,6,6,6,6,Graduate
4,0,0,1,0,0,21,0,18,18,13,13,Graduate
8,0,0,1,0,0,23,0,6,0,6,0,Dropout
5,0,1,0,0,0,21,0,6,4,6,4,Dropout
12,0,0,1,0,0,24,0,7,7,8,8,Graduate
3,0,0,1,0,0,27,0,6,6,6,6,Graduate
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
2,0,0,0,0,0,21,0,0,0,0,0,Dropout
8,0,1,1,0,1,19,0,5,0,5,0,Dropout
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
6,0,0,1,0,0,18,0,6,0,6,0,Dropout
12,0,0,1,0,1,18,0,7,5,7,5,Enrolled
16,0,1,1,0,1,20,0,7,7,7,7,Graduate
3,0,0,1,0,0,24,0,6,5,6,6,Graduate
5,0,0,1,0,0,20,0,6,6,6,6,Graduate
9,0,0,1,0,0,20,0,5,4,5,5,Enrolled
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
10,0,0,1,0,1,20,0,6,6,6,6,Graduate
12,0,0,1,0,0,20,0,7,7,8,8,Graduate
12,0,0,1,0,1,19,0,7,6,8,8,Graduate
6,0,0,1,0,0,19,0,6,5,6,4,Enrolled
15,0,0,1,0,0,20,0,6,6,6,6,Graduate
9,0,0,1,0,0,19,0,5,2,5,2,Dropout
16,0,0,1,0,0,19,0,6,4,6,4,Dropout
12,0,0,1,0,1,18,0,8,8,8,8,Graduate
5,0,0,1,0,1,23,0,6,6,6,3,Dropout
16,0,0,1,0,0,21,0,6,5,6,5,Dropout
3,0,0,1,0,0,23,0,9,9,8,6,Graduate
12,0,0,1,0,0,19,0,7,7,8,8,Graduate
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
15,1,0,1,0,0,19,0,6,5,6,5,Graduate
12,0,0,1,0,1,25,0,8,7,8,7,Graduate
16,0,0,1,0,0,19,0,6,5,6,4,Enrolled
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
13,0,1,1,0,1,24,0,7,7,8,7,Graduate
14,0,0,1,0,1,18,0,6,6,6,5,Graduate
10,0,0,1,0,1,19,0,6,6,6,6,Graduate
12,0,0,1,0,1,18,0,8,7,8,7,Graduate
17,0,0,1,0,0,27,0,5,3,5,4,Enrolled
10,0,0,1,0,0,19,0,6,5,6,5,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Dropout
14,0,1,0,0,0,34,0,6,4,6,0,Dropout
9,0,0,1,0,0,18,0,5,3,5,2,Enrolled
9,0,0,1,0,0,18,0,5,2,5,3,Enrolled
12,0,0,1,0,0,18,0,8,8,8,8,Enrolled
15,0,1,0,0,0,20,0,6,0,6,0,Dropout
9,0,0,1,0,1,19,0,5,2,5,3,Enrolled
10,0,0,1,0,0,21,0,6,5,6,1,Enrolled
17,0,0,1,0,0,26,0,5,5,5,5,Graduate
13,0,0,1,0,0,27,0,7,7,8,8,Graduate
14,0,0,1,0,0,20,0,5,4,5,4,Graduate
10,0,0,1,0,0,18,0,6,6,6,6,Graduate
6,0,0,0,0,0,23,0,12,9,9,6,Enrolled
12,0,0,1,0,0,24,0,8,7,8,7,Graduate
10,0,0,1,0,1,19,0,6,5,6,6,Graduate
15,0,0,1,0,0,19,0,6,4,6,4,Graduate
10,0,1,1,0,1,19,0,6,5,6,3,Enrolled
10,0,1,1,0,0,18,0,6,5,6,2,Enrolled
3,0,0,1,0,0,22,0,16,13,13,11,Graduate
5,0,0,1,0,0,20,0,6,5,6,5,Graduate
4,0,0,1,0,0,25,0,6,0,6,0,Dropout
4,0,0,1,0,0,21,0,6,6,6,6,Graduate
12,0,0,1,0,0,19,0,7,5,7,6,Enrolled
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
14,0,0,1,0,0,18,0,5,3,5,4,Graduate
12,0,0,1,1,0,19,0,7,7,8,8,Graduate
6,0,0,1,0,1,19,1,5,5,5,5,Graduate
15,0,1,0,0,0,18,0,6,5,6,4,Dropout
10,0,0,1,0,1,20,0,11,11,11,11,Graduate
12,0,0,1,0,0,19,0,7,0,8,0,Dropout
12,0,0,1,0,0,28,0,17,17,17,17,Graduate
10,0,0,1,0,1,20,0,6,6,6,6,Graduate
3,0,0,1,0,0,30,0,11,9,7,7,Dropout
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
5,0,0,1,0,0,22,0,6,6,6,5,Graduate
11,0,0,1,0,0,18,0,6,6,6,6,Graduate
16,0,0,1,0,0,23,0,6,2,6,2,Dropout
5,0,0,1,0,0,18,0,6,6,6,6,Graduate
16,0,0,1,0,0,18,0,6,5,6,4,Enrolled
15,0,1,0,1,0,50,0,6,1,5,0,Dropout
2,0,0,1,0,1,19,1,0,0,0,0,Graduate
11,0,0,1,0,0,22,1,6,6,6,6,Graduate
10,0,1,1,0,1,23,1,6,6,6,6,Graduate
6,0,1,0,0,1,20,0,5,5,5,5,Dropout
10,0,0,0,0,0,44,0,6,0,6,0,Dropout
4,0,0,1,1,0,49,0,12,7,12,9,Graduate
17,0,0,1,1,0,46,0,10,9,10,10,Graduate
6,0,0,0,1,0,41,0,3,3,2,2,Dropout
12,0,0,1,1,0,18,0,7,7,8,8,Graduate
17,0,0,1,1,0,43,0,5,5,5,5,Graduate
9,0,1,0,1,0,70,0,5,0,5,0,Dropout
8,0,0,1,1,0,48,0,6,0,6,0,Dropout
4,0,0,1,1,0,41,0,19,19,13,13,Graduate
11,0,0,1,1,0,21,0,6,6,6,4,Enrolled
1,0,1,0,1,0,35,1,7,3,7,0,Dropout
8,0,0,1,1,0,44,0,5,4,5,4,Graduate
9,0,1,1,1,0,18,0,5,4,5,2,Dropout
3,0,0,1,1,0,45,0,6,6,6,6,Graduate
11,0,0,1,1,0,20,0,6,3,6,5,Enrolled
4,0,0,1,1,0,22,0,6,5,6,6,Graduate
7,0,0,1,1,0,39,0,5,3,5,1,Dropout
6,0,0,0,1,0,20,0,6,5,6,3,Enrolled
9,0,0,1,1,0,49,0,5,3,5,3,Dropout
13,0,0,1,1,0,43,0,4,4,1,1,Dropout
17,0,0,1,1,0,32,0,5,0,5,0,Dropout
10,0,0,1,1,0,47,0,9,9,7,7,Graduate
17,0,0,1,1,1,37,0,5,5,5,4,Dropout
3,0,0,1,1,0,41,0,10,10,7,7,Graduate
4,0,0,1,1,0,60,0,18,18,13,13,Graduate
11,0,0,1,1,0,47,0,11,11,9,9,Graduate
3,0,1,0,1,0,50,0,6,0,5,0,Dropout
17,0,0,1,1,0,45,0,5,0,5,0,Dropout
7,0,1,0,1,0,45,0,5,0,5,0,Dropout
6,0,0,1,1,0,33,0,5,4,5,5,Graduate
12,0,0,1,1,0,18,0,8,7,8,7,Graduate
6,0,0,1,1,0,43,0,5,5,5,5,Graduate
3,0,0,1,1,0,44,0,13,13,11,11,Graduate
8,0,0,1,1,0,29,0,5,0,5,0,Dropout
14,0,1,0,1,0,53,0,6,3,6,0,Dropout
17,0,0,1,1,0,37,0,5,5,5,5,Enrolled
14,0,0,1,1,0,18,0,6,5,6,5,Enrolled
1,0,1,1,1,0,35,0,10,6,9,3,Dropout
11,0,0,1,1,0,23,0,6,6,6,6,Enrolled
2,0,0,1,1,0,22,0,0,0,0,0,Graduate
3,0,0,0,1,0,33,0,6,1,6,0,Dropout
8,0,0,0,1,0,41,0,5,0,5,0,Dropout
12,0,0,1,1,0,51,0,7,7,8,8,Graduate
14,0,0,1,1,0,19,0,6,6,7,7,Graduate
17,0,0,1,1,0,35,0,5,0,5,0,Dropout
2,0,0,1,1,0,20,1,0,0,0,0,Graduate
14,0,0,1,1,0,18,0,6,4,6,5,Enrolled
15,0,1,0,1,1,18,0,6,5,6,3,Dropout
4,0,0,1,1,0,21,0,6,5,6,5,Graduate
11,0,0,1,1,0,21,0,6,6,6,5,Graduate
9,0,0,1,1,0,34,0,5,3,5,4,Graduate
8,0,0,1,1,0,34,0,6,0,6,0,Dropout
14,0,0,1,1,0,21,0,6,6,6,5,Graduate
15,0,0,1,1,0,32,0,11,7,7,6,Enrolled
11,0,0,1,1,0,30,0,6,2,6,3,Dropout
2,0,1,1,1,0,19,0,12,11,11,10,Enrolled
15,0,0,1,1,0,20,0,7,6,6,5,Dropout
5,0,0,1,1,0,18,0,6,0,6,0,Dropout
11,0,0,1,1,0,19,0,6,6,6,6,Graduate
12,0,0,1,1,0,18,0,7,5,7,6,Dropout
17,0,0,1,1,0,27,0,5,4,5,3,Dropout
15,0,0,1,1,0,52,0,6,5,6,6,Graduate
4,0,0,0,1,0,29,0,6,0,6,0,Dropout
4,0,1,0,1,0,22,0,6,3,6,2,Dropout
6,0,0,1,1,0,28,1,18,18,13,12,Graduate
14,0,0,1,1,0,30,0,5,0,5,0,Dropout
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
14,0,0,1,0,0,21,0,5,4,5,3,Graduate
5,0,1,1,0,1,20,0,6,6,6,6,Graduate
12,0,0,1,0,1,21,0,8,8,8,8,Graduate
17,0,1,0,0,0,32,0,5,0,5,0,Dropout
5,0,0,1,1,1,20,0,6,6,6,6,Graduate
2,0,1,0,1,0,19,0,0,0,0,0,Dropout
14,0,1,0,1,0,18,1,6,4,6,3,Dropout
17,0,0,0,1,0,23,0,15,12,14,11,Dropout
11,0,0,1,1,0,20,0,6,6,6,4,Graduate
9,0,0,1,0,0,46,0,9,8,5,5,Graduate
4,0,0,1,1,0,27,0,18,18,12,12,Graduate
2,0,0,1,1,0,20,0,0,0,0,0,Enrolled
3,0,0,1,1,0,41,0,9,9,7,6,Graduate
9,0,1,1,1,0,40,1,5,1,5,1,Enrolled
3,0,0,1,1,0,37,0,16,16,11,10,Graduate
9,0,0,1,1,0,20,0,5,5,5,5,Enrolled
8,0,0,1,0,0,20,0,5,4,5,4,Enrolled
17,0,0,1,0,0,26,0,9,9,7,7,Graduate
3,0,0,1,1,0,54,0,9,9,7,7,Graduate
14,0,0,1,1,0,21,0,6,6,6,6,Graduate
6,0,0,1,0,1,20,0,6,6,6,6,Graduate
15,0,0,1,0,0,18,0,6,0,6,0,Dropout
12,0,0,1,0,0,19,0,7,6,8,7,Enrolled
10,0,0,1,0,0,18,0,6,6,6,6,Graduate
6,0,0,1,0,0,19,0,6,4,6,4,Enrolled
6,0,1,1,0,0,22,0,6,6,6,3,Dropout
6,0,0,1,0,0,19,0,6,6,6,6,Graduate
2,0,0,1,0,0,21,0,12,8,11,9,Dropout
16,0,0,1,0,0,20,0,7,6,7,6,Enrolled
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
14,0,1,1,0,0,20,0,6,2,6,4,Dropout
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
12,0,0,1,0,0,18,0,8,6,8,6,Enrolled
15,0,0,1,0,1,20,0,6,5,6,6,Graduate
10,0,0,1,0,0,19,0,6,6,6,6,Graduate
5,0,0,1,0,0,18,0,6,6,6,5,Graduate
12,0,0,1,0,0,18,0,8,7,8,7,Graduate
6,0,1,1,0,1,18,0,5,5,5,5,Dropout
2,0,0,1,0,1,20,0,0,0,0,0,Graduate
15,0,0,1,0,1,19,0,6,6,6,6,Graduate
12,0,0,0,1,0,36,0,6,2,7,0,Dropout
10,0,0,1,0,1,19,0,6,6,6,6,Graduate
10,0,0,1,0,0,18,0,6,6,6,5,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
15,0,0,1,0,1,18,0,6,6,6,6,Graduate
5,0,0,1,0,0,19,0,7,7,9,9,Graduate
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
8,0,0,1,0,1,19,0,6,6,6,6,Graduate
16,0,0,1,0,0,18,0,6,6,6,4,Enrolled
5,0,0,0,0,1,22,0,6,6,6,4,Enrolled
10,0,1,0,0,0,18,0,6,0,6,0,Dropout
9,0,0,1,0,0,19,0,5,5,5,5,Graduate
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
16,0,0,1,0,0,19,0,7,7,7,7,Graduate
9,0,1,1,0,0,20,0,5,2,5,3,Enrolled
5,0,0,1,0,1,18,0,6,6,6,6,Graduate
8,0,1,0,0,0,23,0,6,6,6,4,Enrolled
15,0,0,1,0,0,20,0,4,0,6,0,Dropout
5,0,0,1,0,0,20,0,6,6,6,6,Enrolled
10,0,1,0,0,1,22,0,6,0,6,0,Dropout
16,0,0,1,0,1,18,0,7,7,7,6,Graduate
12,0,0,1,0,1,18,0,7,7,8,8,Graduate
12,0,0,1,0,0,18,0,7,7,8,8,Graduate
16,0,0,1,0,0,18,0,7,7,7,7,Graduate
9,0,0,1,0,0,21,0,5,5,5,3,Enrolled
5,0,0,1,0,0,20,0,6,6,6,6,Enrolled
5,0,0,1,0,0,18,0,6,6,6,6,Graduate
12,0,0,0,0,1,20,0,7,7,8,7,Enrolled
3,0,0,1,0,0,25,0,6,6,6,6,Graduate
9,0,0,1,0,1,18,0,5,5,5,4,Graduate
2,0,0,1,0,0,19,0,0,0,0,0,Graduate
6,0,0,1,0,0,20,1,7,6,7,6,Enrolled
10,0,0,1,0,1,20,0,6,6,6,6,Graduate
15,0,0,1,0,1,21,0,6,6,6,6,Graduate
14,0,0,1,0,0,18,0,6,6,6,5,Graduate
16,0,0,1,0,0,18,0,7,7,7,6,Dropout
5,0,0,1,0,1,18,0,6,6,6,6,Graduate
12,0,0,1,0,0,18,0,8,8,8,8,Graduate
14,0,0,1,0,0,19,0,6,0,6,0,Dropout
11,0,0,1,0,0,20,0,6,6,6,6,Dropout
10,0,0,1,0,0,47,0,6,0,5,0,Dropout
8,0,1,1,0,0,21,1,5,5,5,2,Enrolled
8,0,0,1,1,0,31,0,6,2,6,1,Dropout
7,0,0,1,1,0,46,0,5,0,5,0,Dropout
7,0,0,1,1,0,18,0,5,4,5,2,Enrolled
7,1,0,1,1,0,19,0,5,3,5,4,Dropout
13,0,0,1,1,0,23,0,7,5,7,2,Enrolled
8,0,0,0,1,0,22,0,5,0,5,0,Dropout
9,0,0,1,1,0,19,0,5,5,5,5,Graduate
9,0,1,0,0,0,19,1,5,0,5,0,Dropout
9,0,0,0,1,0,22,0,5,4,5,4,Enrolled
8,0,1,0,1,0,29,0,5,0,5,0,Dropout
12,0,0,1,0,0,18,0,7,6,7,6,Graduate
10,0,0,1,0,0,18,0,6,5,6,5,Graduate
2,0,1,0,0,1,23,0,0,0,0,0,Dropout
17,0,0,1,0,0,34,0,5,5,5,5,Graduate
9,0,0,1,0,0,19,0,5,3,5,4,Graduate
6,0,0,1,0,0,18,0,5,4,5,5,Enrolled
12,0,0,1,0,1,20,0,7,7,8,8,Graduate
12,0,0,1,0,0,19,0,7,7,8,7,Graduate
16,0,0,1,0,0,22,0,6,5,6,4,Enrolled
10,0,0,1,0,1,23,0,6,6,6,6,Graduate
12,0,0,1,1,1,34,0,8,7,8,7,Graduate
7,0,1,0,1,0,18,0,5,0,5,0,Enrolled
15,1,0,1,1,0,21,0,6,5,6,0,Dropout
10,0,0,1,1,0,22,0,6,6,6,6,Dropout
4,0,0,1,1,0,28,0,6,0,6,0,Dropout
7,0,0,1,1,0,23,0,5,0,5,0,Dropout
15,0,0,1,1,0,20,0,6,4,6,2,Dropout
7,0,0,1,1,0,18,0,5,5,5,3,Dropout
9,0,1,0,1,0,28,0,5,0,5,0,Dropout
5,0,0,1,1,0,21,0,7,2,9,7,Dropout
14,0,1,0,1,0,25,0,6,3,6,2,Dropout
6,1,0,0,1,0,19,0,6,6,6,6,Dropout
12,0,0,1,1,1,18,0,7,7,8,8,Graduate
7,0,0,1,1,0,29,0,3,0,5,0,Dropout
7,0,0,1,1,1,29,0,5,0,5,0,Dropout
11,0,0,1,1,0,20,0,6,6,6,5,Graduate
2,0,0,1,1,0,18,0,0,0,0,0,Graduate
11,0,0,1,1,0,20,0,6,6,6,6,Graduate
7,0,0,1,1,0,33,0,5,1,5,2,Dropout
17,0,0,1,1,0,30,0,15,13,11,10,Graduate
13,0,0,1,1,1,21,0,7,5,8,6,Enrolled
4,0,1,1,1,0,18,0,6,5,6,4,Graduate
12,0,0,1,1,1,19,0,7,7,8,8,Graduate
5,0,0,1,1,1,21,0,6,4,6,5,Dropout
13,0,0,1,1,1,25,0,7,2,7,0,Dropout
14,0,0,1,1,0,19,0,5,3,5,5,Graduate
5,0,0,1,1,0,23,0,7,5,9,7,Dropout
5,0,0,1,1,1,19,0,6,6,6,5,Graduate
2,0,0,1,1,0,19,0,0,0,0,0,Graduate
4,0,1,0,1,0,31,0,6,1,6,0,Dropout
4,0,1,0,1,0,32,0,6,3,10,6,Dropout
12,0,0,1,0,1,19,0,8,7,8,7,Graduate
15,0,0,1,0,0,34,0,10,10,10,9,Graduate
15,0,0,1,0,0,21,0,6,6,6,6,Graduate
10,0,0,1,0,1,53,0,7,6,7,7,Graduate
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
15,0,0,1,0,1,20,0,6,4,6,4,Graduate
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
2,0,0,0,0,0,32,0,0,0,0,0,Dropout
12,0,0,1,0,1,21,0,8,7,8,7,Graduate
3,0,0,0,0,0,26,0,5,0,5,0,Dropout
6,0,0,1,0,0,26,0,18,18,13,13,Graduate
17,0,0,0,0,0,21,0,5,3,5,1,Dropout
15,0,0,1,0,0,18,0,6,6,6,6,Graduate
5,0,0,1,0,1,21,0,12,12,12,11,Graduate
11,0,0,1,0,0,21,0,6,6,6,4,Enrolled
14,0,0,1,0,1,19,0,6,6,6,6,Graduate
9,0,0,1,0,0,19,0,5,2,5,2,Dropout
10,0,0,1,0,1,19,0,6,6,6,5,Graduate
12,0,0,1,0,0,27,0,8,8,8,8,Graduate
12,0,0,1,0,1,18,0,7,6,7,6,Graduate
9,0,0,1,0,0,20,0,5,1,5,0,Dropout
12,0,0,1,0,1,19,0,7,7,8,8,Graduate
14,0,0,1,0,0,20,0,6,0,6,0,Dropout
10,0,0,1,0,1,19,0,6,5,6,6,Graduate
10,0,0,1,0,0,20,0,6,4,6,3,Enrolled
2,0,0,1,0,0,20,0,0,0,0,0,Dropout
16,0,0,1,0,0,18,0,6,6,6,6,Graduate
6,0,0,1,0,0,20,0,5,4,5,5,Graduate
17,0,0,0,0,0,38,0,5,5,5,2,Dropout
3,0,0,1,0,0,42,0,6,5,6,6,Graduate
12,0,0,1,0,0,32,0,7,0,8,0,Dropout
15,0,0,1,0,0,22,1,6,6,6,6,Graduate
17,0,0,1,0,0,28,0,5,0,5,0,Dropout
3,0,0,1,0,0,37,0,6,0,6,0,Dropout
4,0,0,1,0,0,43,0,6,6,6,6,Graduate
3,0,0,1,0,1,41,0,6,5,6,6,Graduate
3,0,0,1,0,1,29,0,6,4,6,5,Graduate
3,0,0,1,0,1,35,0,6,6,6,6,Graduate
10,0,0,1,0,0,18,0,6,4,6,4,Dropout
12,0,0,0,0,1,39,0,7,3,7,2,Dropout
17,0,0,1,0,0,37,0,5,2,5,3,Enrolled
12,0,0,1,0,1,26,0,7,6,7,6,Graduate
6,0,0,1,0,0,32,0,5,1,5,0,Dropout
3,0,1,1,0,0,37,0,8,7,7,6,Enrolled
6,0,1,1,0,0,28,0,6,0,6,0,Enrolled
10,0,0,1,0,0,19,0,6,0,6,0,Dropout
9,0,0,1,0,0,18,0,5,1,5,2,Enrolled
16,0,0,1,0,1,19,0,7,6,7,7,Graduate
14,0,0,1,0,0,32,0,11,8,8,8,Graduate
9,0,0,1,0,0,31,0,5,3,5,2,Dropout
12,0,0,1,0,0,34,0,8,7,8,7,Enrolled
2,0,0,1,0,0,20,0,12,12,11,11,Graduate
12,0,0,1,0,0,28,0,7,1,7,1,Dropout
17,0,0,1,0,0,31,0,6,6,7,7,Enrolled
15,0,0,1,0,0,18,0,6,6,6,4,Enrolled
3,0,0,0,0,0,31,0,6,5,6,3,Dropout
15,0,0,1,0,0,19,0,6,6,6,5,Graduate
10,0,0,1,0,1,19,0,6,6,6,6,Graduate
10,0,0,1,0,0,31,0,6,0,5,0,Enrolled
6,0,0,1,0,0,34,0,6,0,6,0,Dropout
13,0,0,1,0,1,18,0,7,7,8,8,Graduate
11,0,0,1,0,0,18,0,6,6,6,6,Graduate
9,0,1,1,1,0,19,0,5,5,5,5,Graduate
